Order Item ID,O.E.:,Job #:,Customer:,Qty.:,Part #,Rev,Contact:,DWG Rel.,M,Descriptions:,Price:,P.O. :,Packing Slip,Qty.:,Invoice:,Del. Req'd:,Del. Ship'd:,Delay:
813,38970,72591,Candu,1,RT-88000-70051-000-1-GA-E,,Sanchia Bartley-Ndiaye,7/24/2025,3,Gauge P/T Expander Reach setting Gauge,"$1,562.00 ",RT98-88010-PN-R008,,,,30-Sep-25,,
814,38970,72592,Candu,1,RT-88010-0033-1-DD-B,,Sanchia Bartley-Ndiaye,7/24/2025,4,Gauge P/T Ring Gauge ( Blue),"$2,053.00 ",RT98-88010-PN-R008,,,,30-Sep-25,,
815,38970,72593,Candu,1,RT-88010-0032-1-DD-B,,Sanchia Bartley-Ndiaye,7/24/2025,5,Gauge P/T Ring Gauge ( Red),"$2,053.00 ",RT98-88010-PN-R008,,,,30-Sep-25,,
816,38970,72594,Candu,1,RT-88010-0031-1-DD-B,,Sanchia Bartley-Ndiaye,7/24/2025,6,Gauge P/T Ring Gauge ( Yellow),"$2,053.00 ",RT98-88010-PN-R008,,,,30-Sep-25,,
817,38970,72595,Candu,2,RT-88000-70210-060-1-DD-B,,Sanchia Bartley-Ndiaye,7/24/2025,7,Gauge Ring Gauge for Bore Gauge,"$1,468.00 ",RT98-88010-PN-R008,,,,30-Sep-25,,
818,38970,72596,Candu,2,RT-88010-0120-1-DD-C,,Sanchia Bartley-Ndiaye,7/24/2025,8,Gauge P/T Category Check Tool,$308.00 ,RT98-88010-PN-R008,,,,30-Sep-25,,
819,38970,72597,Candu,2,RT-88010-0121-1-DD-B,,Sanchia Bartley-Ndiaye,7/24/2025,9,P/T Category Check Tool,$490.00 ,RT98-88010-PN-R008,,,,30-Sep-25,,
820,38970,72598,Candu,2,RT-88000-70210-041-1-DD-D,,Sanchia Bartley-Ndiaye,7/24/2025,10,P/T Category Check Tool- PLug306,$306.00 ,RT98-88010-PN-R008,,,,30-Sep-25,,
821,38970,72599,Candu,1,RT-88010-0050-1-GA-C,,Sanchia Bartley-Ndiaye,7/24/2025,11,Gauge EF Liner Tube Plug Gauge,"$2,178.00 ",RT98-88010-PN-R008,,,,30-Sep-25,,
1085,38970,73000,Candu,3,RT-88000-70051-000-1-GA-E,,Etianne Machado,12/19/2025,3A,Gauge P/T Expander Reach setting Gauge,"$1,562.00 ",RT98-88010-PN-R008,,,,12-Feb-26,,
,,,,,,,,,,,,,,,,,,
822,38971,72600,Superwake,1,S93501-105,C,Miceeal Melville,7/24/2025,1,"Main Spar Mold ""A""",Lot,Verbal,,,,22-Aug-25,,
823,38971,72600,Superwake,1,S93502-105,c,Miceeal Melville,7/24/2025,2,"Main Spar Mold ""B""",LOT $ 3692,Verbal,,,,22-Aug-25,,
824,38971,72601,Superwake,1,S92201-105,c,Miceeal Melville,7/24/2025,3,Rear Spar Mold,"$1,950.00 ",Verbal,,,,22-Aug-25,,
,,,,,,,,,,,,,,,,,,
825,38972,72602,Candu,10,RT-87530-70001-1-GA-D,,Angelica de la Barrera,7/25/2025,1,Enhanced FIF Tool,"$11,328.00 ",RT98-87530-PN-R001,,,,28-Oct-25,,
826,38972,72603,Candu,2,98-31952-83-1-GA-E,,Angelica de la Barrera,7/25/2025,2,General Inspection Fixture,"$8,313.00 ",RT98-87530-PN-R001,,,,28-Oct-25,,
827,38972,72604,Candu,2,98-31952-69-1-GA-E,,Angelica de la Barrera,7/25/2025,3,Tool Channel Closure Dismantling Tool,"$6,842.00 ",RT98-87530-PN-R001,,,,28-Oct-25,,
,,,,,,,,,,,,,,,,,,
828,38973,72605,Candu,18,RT-88030-70120-2000-1-GA-B,0,Brandon Kwakye-Longdon,7/25/2025,1,SA Transport Container,"$24,549.00 ",RT79-88020-PN-R003-R.1,,,,19-Dec-25,,
829,38973,72606,Candu,12+2,RT-88030-70121-2000-1-GA-B,,Brandon Kwakye-Longdon,7/25/2025,2,EF Transport Container,"$9,820.00 ",RT79-88020-PN-R003-R.1,,,,19-Dec-25,,
,,,,,,,,,,,,,,,,,,
831,38987,72621,Candu,10,RT-87713-0001-1-GA-D,2,Sanchia Bartley-Nidaye,8/1/2025,1,End Shield Measurement Tool,"$4,097.00 ",RT98-87710-PN-R006,,,,14-Nov-25,,
,,,,,,,,,,,,,,,,,,
832,38988,72622,Candu,3,RT-87900-0400-1-GA-E,6,Brandon Kwakye-Longdon,8/1/2025,1,C6-Bore Gauge,"$26,451.00 ",RT98-87900-PN-R003,,,,28-Dec-25,,
